,lower_bound,lower_bound,upper_bound,upper_bound
currency,PEN,USD,PEN,USD
page_id,,,,
54921214620,,0.0,,495.0
351653851127,,3300.0,,5577.0
100259721859417,100.0,,3565.0,
100309921854484,700.0,0.0,6640.0,1782.0
100338448692869,0.0,,1386.0,
100423448743603,0.0,,1980.0,
100459418540006,0.0,,792.0,
100868325382148,700.0,,997.0,
100901341974044,200.0,,4853.0,
101258231936662,100.0,,2674.0,
101382064633453,21700.0,,30963.0,
101645565076595,3400.0,,9142.0,
101665683225827,1289800.0,3600.0,1658191.0,4891.0
102022535158697,0.0,,198.0,
102121805174324,0.0,,495.0,
102239948491265,,0.0,,99.0
102295161234547,100.0,,1387.0,
102314928445672,300.0,,3072.0,
102352478469876,700.0,,1393.0,
102568505076143,400.0,,4855.0,
102888608247795,8100.0,,30573.0,
103215021752312,0.0,,396.0,
103324674468466,0.0,,99.0,
103807534667244,0.0,,1386.0,
104146221576521,0.0,,198.0,
104402974872962,,0.0,,22176.0
104998784254064,100.0,,3664.0,
105203064753110,26400.0,,48774.0,
105794184815690,0.0,,99.0,
105835907510633,2000.0,1000.0,2891.0,1990.0
106027591405343,1300.0,,1894.0,
106229511442066,0.0,,396.0,
106252397517056,,0.0,,198.0
106395164602216,0.0,,4356.0,
106626904612831,1100.0,,1595.0,
107165664656242,0.0,,198.0,
107271714503267,,0.0,,99.0
108167272589687,900.0,,3771.0,
108619449470302,0.0,,99.0,
108934721019541,0.0,,594.0,
110652647523516,0.0,,396.0,
110672924174926,0.0,,792.0,
110810954155580,1100.0,,2585.0,
112105850263842,4900.0,,8868.0,
112495150229313,0.0,,495.0,
112798067206595,,0.0,,594.0
114428030003661,2900.0,,4583.0,
114696193780931,3200.0,,5576.0,
115094123730332,0.0,,99.0,
115806960260634,0.0,,891.0,
116376803134045,200.0,400.0,596.0,1885.0
117498400158090,3000.0,,17256.0,
119337342805754,1900.0,,3187.0,
127851764546193,600.0,,1392.0,
129567737568492,0.0,,1683.0,
168264127187880,800.0,0.0,1295.0,396.0
218929749041281,2500.0,,4183.0,
241604879208163,0.0,,99.0,
283647955155472,1700.0,,3581.0,
286787798490868,0.0,,2079.0,
335588444296178,0.0,,99.0,
396705844264612,0.0,,396.0,
415937438800916,800.0,,1889.0,
433251497093145,43900.0,,56866.0,
446915625816136,0.0,,3366.0,
460411907643456,0.0,,198.0,
507893659604927,1000.0,,3079.0,
517582638317514,300.0,,1092.0,
530184020495803,300.0,,2973.0,
534284396949027,500.0,,2381.0,
657005737775582,17000.0,,25811.0,
699489483476556,4600.0,,8560.0,
808315139283273,11500.0,,15575.0,
891756681173495,100.0,,1189.0,
964277866947393,7700.0,,13446.0,
1295870203850294,400.0,,7429.0,
1607614952838589,9300.0,,12686.0,
1643625532431014,800.0,,1394.0,
1805183599788143,0.0,,297.0,
2060520224208376,100.0,,1288.0,
